City e-Solutions Ltd
Eurokai Kgaa
Evergreen Marine (Taiwan)
Finnlines PLC
First Ship Lease Trust
Forbes & Company Ltd
Ganger Rolf ASA
Global Offshore Services Ltd
Golden Ocean Group Ltd
Great Eastern Shipping Co Ltd
Hamburger Hafen
Hci Hammonia Shipping AG
International Shipholding Corp
Jinhui Holdings Co.
Jinhui Shipping and Trans
Kawasaki Kisen Kaisha Ltd
Kirby Corp
Kirby Corporation
Koeln-Duesseldorfer
Koninklijke Vopak NV
Logistec Corp
Marsden Maritime Holdings Ltd
Matson Inc
Matson
Mitsui O SK Lines Ltd
Navios Maritime Acquisition Co
Neptune Orient Lines Ltd
Nippon Yusen
Ocean Wilsons Holdings Ltd
Odfjell SE
PanOcean Co Ltd
Pelayaran Tempuran Emas Tbk
Port of Tauranga Ltd
Precious Shipping PLC
Prumo Logistica SA
Rickmers Maritime
Santos Brasil Participacoes SA
Shreyas Shipping & Logist
Singapore Shipping Corp Ltd
Sinwa Ltd
SKS Logistics Ltd
SLOMAN NEPTUN Schiffahrts AG
South Port New Zealand Ltd
Teekay LNG Partners LP
Teekay LNG Partners LP.
Teekay Offshore Partners LP
Teekay Tankers Ltd
Teekay Tankers Ltd.
Torm A/S
Trevisa Investimentos SA
Ultrapetrol (Bahamas) Ltd.
Varun Shipping Co Ltd
Wilson Sons Ltd
All Logistica
Ansaldo Sts
Asciano Ltd
Canadian Pacific Railway Limit
Canadian Pacific Railway Ltd
Chemins de Fer Departementaux
Cimmco Ltd
CSR Corp Ltd
Globaltrans Investment PLC
Go-Ahead Group (The) PLC
Guangshen Railway Co Ltd
Guangshen Railway Co. Ltd.
Guangshen Railway Company
Intelligent Highway Solutions
Keisei Electric Railway Co Ltd
SBS Transit Ltd
SMRT Corp Ltd
SMT Scharf AG
Student Transportation Inc
The Greenbrier Companies
Titagarh Wagons Ltd
Tokyu Corp
Traffic Technologies Ltd
Transport International
Trinity Industries Inc.
Vossloh AG
VTG AG
Acer Inc
ADVA AG Optical Networking
Allied Computers Internat
Anoto Group AB
Cerebra Integrated Tech
China Water Industry
Concurrent Computer Corporatio
Creative Technology Ltd
Electronics for Imaging Inc
HCL Infosystems Ltd
Himachal Futuristic
Hoeft & Wessel AG
Hyrican Information Systeme
Icron Technologies Corporation
Identive Group Inc
INT Corp Ltd
Itautec SA - Grupo Ita̼tec
Kontron AG
Lenovo Group Ltd
Lenovo Group
Logic Instrument SA
Mad Catz Interactive Inc
Mercury Systems Inc
Muehlbauer Holding AG &
NEC Corp
Panamax Aktiengesellschaft
Sensio Technologies Inc
SMART Technologies Inc
SYSCAN Tech.
Toshiba Tec Corp
Transol Corporation Limited
transtec AG
Turbon AG
Tvs Electronics Ltd
Unika Groupe
WizCom Technologies Ltd
Zenith Computers Ltd
Euro Multivision Ltd
Moser Baer India Ltd
Quantum Corp
Seagate Technology Public Limi
Singulus Technologies AG
Voltaire Limited
Vtion Wireless Technology AG
Western Digital Corp
Digital Angel Corporation
Extreme Networks Inc.
Lattice Incorporated
Communication Intelligence Cor
Mad Catz Interactive Inc.
Mercury Systems
Stratasys Ltd.
3D Systems Corporation
Apps Genius Corp.
Asian Capital Resources
Axiologix Education Corporatio
Capcom Co.
Catalis SE
Changyou.com Limited
Changyou.com Ltd
China Mobile Games and Enterta
Cliq Digital AG
DQ Entertainment (Interna
eBet Ltd
Konami Corp
Konami Corp.
Las Vegas From Home.com
Las Vegas Home.com
Monster Arts Inc.
MTI Ltd.
Net Entertainment NE AB
Nintendo Co Ltd
PNI Digital Media
Sega Sammy Holdings
TheScore Inc
Actuate Corporation
B Green Innovations
BullsnBears.com
Catamaran Corporation
China Information Technology
Decisionpoint Systems
Endurance International Group
Exa Corporation
Explore Anywhere Holding Corp.
Finjan Holdings
Forex International Trading Co
GBS Enterprises Incorporated
Image Sensing Systems
Insight Enterprises Inc.
Marin Software Incorporated
Marine Drive Mobile Corp.
Mattersight Corporation
MicroStrategy Inc.
Mitek Systems
Model N
Multi Solutions II
Open Text Corporation
Pan Ocean Container Supplies L
Paylocity Holding Corporation
Peerless Systems Corp.
PROS Holdings
SaasMAX
SAP AG
SeaChange International Inc.
SecureLogic Corp.
Sky-mobi Limited
Tableau Software
TeleCommunication Systems Inc.
The Active Network
the Rubicon Project
Top Image Systems Ltd.
Worlds Inc.
X-Factor Communications Holdin
Information Systems Associates
A8 Digital Music
Altium Ltd
Aplix IP Holdings Corporation
Archana Software Ltd
Aspen Technology Inc
ATOSS Software AG
ATTRAQT Group PLC
BETA Systems Software AG
BSD Crown Ltd
California Software Co Ltd
CardioComm Solutions Inc
Cava Resources Inc
Cegid Group
Check Point Software
China Info Techn
Comops Ltd
Comptel Oyj
Computech Holdings Ltd.
Computer Modelling Group Ltd
CounterPath Corporation
Cranes Software Intl
Cytiva Software Inc.
Dalet
Dassault Systemes SA
Descartes Systems Group Inc
Diagnos Inc
Digitech
Diligent Board Member
DMX Technologies Group Ltd
Elnet Technologies Ltd
Enea AB
Energy One Ltd
Epicurean and Company Ltd
Esi Group
Esker
F-Secure Corp
Fabasoft AG
Financial Technologies
FlexSystem Holdings Ltd.
Founder Holdings Ltd
Founder Holdings Ltd.
Frontier Information
Gemalto
Geodesic Ltd
Geometric Ltd
GK Software AG
Global Link
GraphOn Corp.
Group Business Software AG
Halogen Software Inc
i:FAO AG
IAR Systems Group AB
IBS AG
ICSA (India) Ltd
IDS
IGE Plus XAO SA
Image Sensing Systems Inc
Indra Sistemas SA Serie A
Innofactor Oyj
Internap Network Services Corp
Intershop Communications AG
Intrinsyc Software
iSign Media Solutions Inc
ISIS Lab Corp
Isra Vision AG
It Way
IVU Traffic Technologies AG
Jumbuck Entertainment
Kaching Kaching
Kernex Microsystems India Ltd
Kofax Ltd
Lectra
LeoNovus Inc
Login People
m + s Elektronik AG
Magix AG
Matica Technologies AG
MaxSec Group Ltd
Megasoft Ltd
MeVis Medical Solutions AG
Micro Focus International PLC
MicroStrategy Inc
Myriad Group AG
Nemetschek AG
net SE
Nexus AG
Noble Iron Inc
Omega Interactive Tech
Omni AX's Software Ltd
Open Text Corp
Opera Software ASA
Oracle Corporation Japan
Orad Hi-Tec Systems Ltd
PA Power Automation AG
Palred Technologies Ltd
Parta Dialogue
PCS Technology Ltd
PDF Solutions Inc
PDF Solutions Inc.
Pironet NDH AG
Prophecy International Ho
Q Technology Group Ltd
Q-SOFT Verwaltungs AG
QHR Technologies Inc.
Qianlong Tech. Int'l
R S Software (India) Ltd
Raise Production Inc
RealDolmen SA
Redknee Solutions Inc
RenoWorks Software Inc
Rentabiliweb Group SA
Route1 Inc
RSI International Systems Inc
SAP SE
Saral Mining Ltd
Sasken Communication Tech
SDL PLC
Sea Green Capital Corp.
SeaChange International Inc
secunet Security Networks AG
Softbrain Co Ltd
Softmatic AG
Sphere 3D Corp
SQS India BFSI Ltd
Stratatel Limited
Subex Ltd
Tanla Solutions Ltd
Tata Elxsi Ltd
Technology One Ltd
TeleCommunication Systems Inc
Thiz Technology Group Ltd.
Totally Hip Technologies Inc
Totvs SA
TransGaming Inc
Trend Micro Inc
Trigyn Technologies Ltd
Trijal Industries Ltd
Truecontext Mobile
TZ Ltd
update software AG
USA Technologies Inc.
Vakrangee Software Ltd.
Vectron Systems AG
VendTek Systems Inc
Versatile Systems Inc
VIQ Solutions Inc
Vista Group International Ltd
Vizrt Ltd
Voice Mobility
Wave Systems Corp
Zenith Infotech Ltd
Zylog Systems Ltd.
1 Communique Laboratory Inc
Infomedia Ltd
Infosys Ltd.
Brady Corp.
Data Storage Corp.
Network-1 Security Solutions I
View Systems Inc.
Wave Systems Corp.
Acando AB
Accel Frontline Ltd
Accelya Kale Solutions Ltd
Addnode Group AB
Adesso AG
adinotec AG
Aftek Ltd
All for One Steeb AG
Allgeier SE
Allied Digital Services Ltd
Alten
Altran Technologies
Amper SA
Axis AB
B.O.S. Better Online Solutions
Be SPA
Bechtle AG
Beijing Development (HK)
Blue Star Infotech Ltd
Brain Force Holding AG
caatoosee ag
Cambridge Technology Ente
CANCOM SE
Capgemini
CAT Technologies Ltd
CGI Group Inc
Chinasoft International Ltd.
Cielo SA
CMC Ltd
Computershare Ltd
Cortex Business Solutions Inc
CriticalControl Solutions Corp
CSE Global Ltd
CSP Inc.
Cybercom Group AB
Cybertech Systems & Softw
Cycos AG
Data3 Ltd
Datagroup AG
Datinvest International Ltd
Digital China Holdings Ltd
Digital China Holdings Ltd.
EC-Founder holdings
eClerx Services Ltd
ECS Holdings Ltd
Empired Ltd
Engineering
ERP Soft Systems Ltd
euromicron AG
FCS Software Solutions Ltd
Fidelity National
Fidelity National Information
Fujitsu Ltd
Funkwerk AG
GBST Holdings Ltd
Genesys International Corp Ltd
GFT Technologies AG
Glodyne Technoserve Ltd
Glodyne Technoserve Ltd.
Goldstone Technologies Ltd
GSS Infotech Ltd
Hansa Net Global Commerce Inc.
Hartco Inc
Helios & Matheson Informa
Hexaware Technologies Ltd
Hitachi Ltd
HiTechPros SA
HOV Services Ltd
Hubwoo
IBS Group Holding LTD
Indo-City Infotech Ltd
INES Corporation
init innovation
Insight Enterprises Inc
Integralis AG
Invigor Group Ltd
Issuer Direct Corporation
IT Competence Group SE
IT Holdings Corporation
IT Link
ITS Group
Kantone Holdings Ltd
Kantone Holdings Ltd.
Kashyap Tele-Medicines Ltd
KPIT Technologies Ltd
Linedata Services
Logix Microsystems Ltd
M Dream Inworld Ltd.
Maison Internationale
Mastek Ltd
Medical Columbus AG
Melbourne IT Ltd
Mindteck (India) Ltd
MindTree Ltd
Mphasis Ltd
Multipolar Tbk
n runs AG
NCI Inc
NCI
Net One Systems Co.
Netvista Ventures Ltd
NIIT Ltd
NIIT Technologies Ltd
Nomura Research Institute Ltd.
Nucleus Software Exports Ltd
Oakton Ltd
Octo Technology SA
Omnitech Infosolutions Ltd
Ontrack Systems Limited
Onward Technologies Ltd
Opportunity Inv Mgmt
Ordina
Panoramic Universal Ltd
Pixelpark AG
Plaut AG
Prithvi Information Solut
PS&C Ltd
Quandrant4 Systems Corp.
Quintegra Solutions Ltd
Ramco Systems Ltd
Realtech AG
Redington (India) Ltd
Rolta India Ltd
Sabre Corporation
Saksoft Ltd
Santa Rosa Resources Corp
Saven Technologies Ltd
Science Applications Internati
Seven Principles AG
Shreejal Info Hubs Ltd
Shs Viveon AG
SMS Management & Technolo
Societe O2I
Societe Pour
Softing AG
Softline AG
Softship AG
Software Technology Group
Sonata Software Ltd
Spectacle Ventures Ltd
Spine Pain Management
Star Pacific Tbk
Steria (Groupe)
Sylogist Ltd
Systran SA
Syzygy AG
Take Solutions Ltd
Tata Consultancy Services Ltd
TDMi AG
Tech Mahindra Ltd
Tech Value SpA
Tecnoinvestimenti SpA
Tessi
Tier Technologies Inc.
Tieto Corp
TRIA IT-solutions AG
Tricom India Ltd
Triton Corp Ltd
TTL Information Technology AG
Umanis NR
UMT United Mobility Techn
USU Software AG
UXC Ltd
Vaishnavi Gold Ltd
Valtech
Visesh Infotecnics Ltd.
Vision IT Group SA
VSG Vange Software Group AG
Xchanging Solution Ltd
Ymagis
Zensar Technologies Ltd
3i Infotech Ltd
Infinite Computer Solutio
Info-Drive Software Ltd
Information Services
Infosys Ltd
Infotel
Bluegate Corporation
Catamaran Corp
Cegedim
China Public Healthcare
Claimsnet.com Inc.
CompuGroup Medical AG
Corum Group Ltd
Global Health Ltd
ifa systems AG
Medical Transcription Billing
Merge Healthcare Incorporated
Nightingale Informatix Corp
Premier
Pro Medicus Ltd
SHL Telemedicine Ltd
United Cannabis Corporation
Visiodent
ZoomMed Inc
Advanced Technologies Group
Anevia SA
Apollo Enterprise
Aspen Technology
Assima PLC
BEKO Holding AG
Bull
CA Inc
Cenit AG
Cimetrix Inc.
Cloud Security Corporation
DataDesign AG
DL Software SA
EcoUnion AG
Empower India Ltd
eServGlobal Ltd
Exact Holding NV
Generix Group
GSE Systems Inc.
Harvest SA
Helios & Matheson Information
Innovation Group (The) PLC
InVision Software AG
Justsystems Corp
Lateral Corp Ltd
Melstar Information
OPENLiMiT Holding AG
Openwave Systems
Park City Group Inc.
Persistent Systems Ltd
Polaris
PSI AG
Quorum Information Techs
RM PLC
Serko Ltd
Silverlake Axis Ltd
Smart Online Inc.
Software AG
Solium Capital Inc
SQS Software Quality
SS&C Technologies Holdings Inc
SS&C Technologies Holdings
Temenos Group AG
The OLB Group
Vedavaag Systems Ltd
Wincor Nixdorf AG
Information Analysis Inc.
Advanced Semiconductor
Alpha & Omega
Ams AG
Analog Devices Inc
API Technologies Corp.
ARM Holdings PLC
Centrotherm Photovoltaics AG
Dialog Semiconductor PLC
Diodes Inc
Entorian Technologies
GSI Technology Inc.
GT Solar International
Integrated Device Tech
Integrated Device Technology
Lattice Semiconductor Corp
M/A-Com Technology Solutions H
MegaChips Corp
Micronas Semiconductor
Natcore Technology Inc
ON Semiconductor Corp
ON Semiconductor Corp.
Plures Technologies
Power Integrations Inc
Renesas Electronics Corp
RF Micro Devices Inc
Sanken Electric Co.
Screen Holdings Co Ltd
Semiconductor Manufacturi
Semiconductor Mfg
Shinko Electric
Silex Systems Ltd
Silicon Laboratories Inc
Taiwan Semiconductor
Towa Corp
Vishay Intertechnology Inc
Vishay Intertechnology Inc.
Vitesse Semiconductor Corp
Infineon Technologies AG
Inside Secure
Alpha & Omega Semiconductor
CBD Energy Limited
Horizon Energy Corp.
Lattice Semiconductor Corporat
Linear Technology Corporation
LOGIC Devices Incorporated
Opti Inc.
Renewable Energy Trade Board C
SolarCity Corporation
WindStream Technologies
Analog Devices
Diodes Incorporated
Fairchild Semiconductor Intern
Montage Technology Group Limit
Peregrine Semiconductor Corpor
Pericom Semiconductor Corp.
Power Integrations Inc.
Resonant Inc.
RF Micro Devices Inc.
Semiconductor Manufacturing In
Silicon Laboratories Inc.
Taiwan Semiconductor Manufactu
Vitesse Semiconductor Corp.
Advanced Semiconductor Enginee
Advanced Semiconductor Mg
Advantest Corp
Advantest Corporation
Aixtron AG
Applied Materials Inc
Applied Materials
ASM International NV
ASML Holding NV
Avi-Tech Electronics Ltd
BE Semiconductor Industries NV
Bluglass Ltd
China Ruifeng Galaxy
CSR PLC
ELMOS Semiconductor AG
First Sensor AG
Global Testing Corp Ltd
Heng Xin China Holdings Ltd
Heng Xin China Holdings Ltd.
Imagination Technologies
Legend Corp Ltd
Manz Automation AG
Melexis
MEMC Electronic Materials Inc
Nanoco Group PLC
Okmetic Oyj
Oxford Instruments PLC
Reliability Inc.
Riber
Rubicon Technology Inc
Rubicon Technology
Soitec
Solar Power
STATS ChipPAC Ltd
SunSi Energies Inc
Superconductor
Tokyo Electron Ltd
ViXS Systems Inc
Wolfson Microelectronics PLC
Celestica Inc
Celestica Inc.
China Aerospace
Elec & Eltek
Hana Microelectronics PLC
Ibiden Co.
Integrated Technologies Ltd
PCI Ltd
Probe Manufacturing Inc.
Viasystems Group Inc
Viasystems Group
Ztest Electronics Inc
Advanced Energy Industries Inc
Advanced Energy Industries
Altair Nanotechnologies
Amara Raja Batteries Ltd.
Apar Industries Ltd
Aplab Ltd
Asian Electronics Ltd
Augusta Technologie AG
AVX Corp
AVX Corp.
Barco
Bel Fuse Inc.
BH Global Corp Ltd
Bhagyanagar India Ltd
BYD Electronic
Car Parking Technologies Ltd.
Catvision Products Ltd
Centum Electronics Ltd
Circa Enterprises Inc
CPS Technologies Corp.
CRS Electronics Inc
CSM Systems Corp
Data I/O Corp
Data I/O Corp.
Data Modul AG
Datalogic
De Nora India Ltd
Delta Electronics
Dialight PLC
Dragon Group International Ltd
Electrovaya Inc
Enplas Corp
Enterprise Development
Espey Mfg. & Electronics Corp.
Eveready Industries India Ltd
Excel Co. Ltd.
Finolex Cables Ltd
Fischer Tech Ltd
Fuji Electric Co Ltd
Genus Power Infrastructur
G̩rard Perrier Industrie
Havells India Ltd
HBL Power Systems Ltd
HEG Ltd
Hind Rectifiers Ltd
Hirose Electric Co.
Hubbell Inc.
i2S Corp SA
Incap Ltd
Indo Tech Transformers Ltd
Indo-National Ltd
Insutech India Ltd.
InTiCa Systems AG
ITM Power PLC
Jenoptik AG
KEI Industries Ltd
Kyocera Corp.
LED International Holdings Ltd
LEM Holding SA
LG Display Co.
Lloyd Electric & Eng
Lumenpulse Inc
Man Yue Technology
Maruwa Co Ltd
Mersen
MicroPlanet Technology Corp
Mitsubishi Electric Corp
Nanjing Panda Electronics
New Energy Systems Group
Nortech Systems Inc.
NSE Industries
Nucletron Electronic
Obducat AB
Omron Corp
Orion Energy Systems Inc
Orion Energy Systems
OSRAM Licht AG
Panasonic Carbon India Co Ltd
PKC Group Oyj
Planar Systems Inc
Planar Systems Inc.
Prysmian
Rakon Ltd
Redflex Holdings Ltd
RedFlow Ltd
Revolution Lighting
Revolution Lighting Technologi
RF Industries
Rogers Corporation
Samtel Color Ltd
Satimo
SmartCool Systems Inc
Spectrum Control Inc.
Sterlite Technologies Ltd
Switching Technologies
Taiyo Yuden
TDK Corp
Tech Pro Technology
Toyo Tanso Co.
UR Holding SPA
Varitronix International Ltd
Varitronix International Ltd.
Volex PLC
W S Industries (I) Ltd
Xaar PLC
XP Power Ltd
YASKAWA Electric Corp
Zhuzhou CSR Times
American Science
American Science & Engineering
Analytik Jena AG
Augusta Industries Inc
Bartronics India Ltd
China BPIC Surveying
Coherent Inc
Coherent Inc.
Cubic Corporation
E S I Environmental
FEI Co
FEI Company
Flexpoint Sensor Systems Inc.
Groupe Gorge SA
GSI Group Inc.
Hemisphere GPS Inc.
Hexagon AB
Horiba Ltd
m-u-t AG
Measurement Specialties Inc.
Medx Health Corp
MTS Systems Corp
MTS Systems Corporation
Nanofocus AG
Nelco Ltd
Opsens Inc
Optiscan Imaging Ltd
Photon Control Inc
Plan Optik AG
Pure Technologies Ltd
Pure Technologies Ltd.
Sarine Technologies Ltd
Sartorius AG
Sierra Monitor Corp.
Synodon Inc
Techcomp holdings
TomTom NV
Traqueur SA
Universal Detection Technology
Viscom AG
Advanced Info Service PLC
ALBIS Leasing AG
America Movil S.A.B. de C.V.
America Movil SAB de CV
ARC Wireless Solutions Inc.
Axtel SAB de CV
Bakrie Telecom Tbk
BCE Inc
Belgacom SA
Bell Aliant Inc
Bharti Airtel Ltd
Broad Investments Ltd
BT Group PLC
Budget Telecom SA
Cable & Wireless
Champion Tech Holdings
China Comm Services Corp
China Communications Serv
China Mobile Limited
China Mobile Ltd
China Mobile Ltd.
China Motion Telecom
China Oriental Culture
China Telecom Corp Ltd
China Unicom (Hong Kong) Limit
China Unicom (Hong Kong) Ltd
Chorus Ltd
CIG Wireless Corp.
Clemson Resources Corp
Cogent Communications
COLT Group SA
conVISUAL AG
Craig Wireless Systems Ltd
Craig Wireless Systems
Crown Castle Intl
Deutsche Telekom AG
Dhanus Technologies Ltd
Dominion Energy Inc
Drillisch AG
e-Kong Group Ltd.
ecotel communication ag
Elisa Oyj
